"series_id","series_label","year","date","growth_rate","index_value","population","anchor_year","anchor_index_value","index_vs_anchor_100","is_anchor_year"
"gdp","Real GDP",1925,1925-12-31,0.242761545738437,1755.61482349937,3114434,2025,38677.8871053934,4.53906600098267,FALSE
"gdp","Real GDP",1926,1926-12-31,0.230838649037397,2160.87857758599,3152362,2025,38677.8871053934,5.58685786454108,FALSE
"gdp","Real GDP",1927,1927-12-31,0.119299299934366,2418.66987913517,3185407,2025,38677.8871053934,6.25336609661364,FALSE
"gdp","Real GDP",1928,1928-12-31,0.247437450517916,3017.13938767286,3220758,2025,38677.8871053934,7.80068306071491,FALSE
"gdp","Real GDP",1929,1929-12-31,0.121398502524668,3383.41559124453,3259256,2025,38677.8871053934,8.74767430295522,FALSE
"gdp","Real GDP",1930,1930-12-31,-0.0214677666421573,3310.78121487826,3300214,2025,38677.8871053934,8.5598812723578,FALSE
"gdp","Real GDP",1931,1931-12-31,-0.0405195749312753,3176.62976736094,3335733,2025,38677.8871053934,8.21303852173967,FALSE
"gdp","Real GDP",1932,1932-12-31,-0.107976785885395,2833.62749513344,3368440,2025,38677.8871053934,7.32622101980929,FALSE
"gdp","Real GDP",1933,1933-12-31,0.0478558530871938,2969.23315624438,3400586,2025,38677.8871053934,7.6768235766176,FALSE
"gdp","Real GDP",1934,1934-12-31,0.110617987267725,3297.68375171672,3430798,2025,38677.8871053934,8.52601834927244,FALSE
"gdp","Real GDP",1935,1935-12-31,0.31847750645108,4347.92185002771,3464993,2025,38677.8871053934,11.2413634131049,FALSE
"gdp","Real GDP",1936,1936-12-31,-0.00402711248019383,4330.41227968255,3509618,2025,38677.8871053934,11.1960931782096,FALSE
"gdp","Real GDP",1937,1937-12-31,0.152218744007188,4989.58219792913,3565014,2025,38677.8871053934,12.9003484195841,FALSE
"gdp","Real GDP",1938,1938-12-31,0.0689932115319039,5333.82949796668,3623302,2025,38677.8871053934,13.7903848869317,FALSE
"gdp","Real GDP",1939,1939-12-31,0.0464707076737498,5581.69632934831,3699042,2025,38677.8871053934,14.4312338317208,FALSE
"gdp","Real GDP",1940,1940-12-31,-0.049600027643988,5304.84403711229,3783780,2025,38677.8871053934,13.7154442347306,FALSE
"gdp","Real GDP",1941,1941-12-31,0.0919577217702878,5792.66540911183,3857666,2025,38677.8871053934,14.9766852396239,FALSE
"gdp","Real GDP",1942,1942-12-31,-0.210116665766829,4575.52986744641,3934429,2025,38677.8871053934,11.8298340728348,FALSE
"gdp","Real GDP",1943,1943-12-31,0.093388914102623,5002.83363321135,4019937,2025,38677.8871053934,12.9346094309111,FALSE
"gdp","Real GDP",1944,1944-12-31,0.321269549037555,6610.09173846307,4114006,2025,38677.8871053934,17.0901055697568,FALSE
"gdp","Real GDP",1945,1945-12-31,0.215489296827269,8034.49575914822,4223014,2025,38677.8871053934,20.7728404016874,FALSE
"gdp","Real GDP",1946,1946-12-31,0.165350883332855,9363.00673005745,4346854,2025,38677.8871053934,24.2076479114389,FALSE
"gdp","Real GDP",1947,1947-12-31,0.14329350754406,10704.664805566,4485785,2025,38677.8871053934,27.6764466900605,FALSE
"gdp","Real GDP",1948,1948-12-31,0.113043829685806,11914.7611106901,4622214,2025,38677.8871053934,30.8050982160002,FALSE
"gdp","Real GDP",1949,1949-12-31,0.0178168585447902,12127.0447239942,4811725,2025,38677.8871053934,31.3539482933729,FALSE
"gdp","Real GDP",1950,1950-12-31,-0.00523535910600659,12063.5552899695,5009006,2025,38677.8871053934,31.189799114666,FALSE
