"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","is_venezuela","horizon_years_after_end","endpoint_year","horizon_index_start_100","horizon_years","horizon_label","fall_magnitude","horizon_ratio_to_start","total_years_from_start","horizon_cagr","post_disaster_ratio_to_end","post_disaster_cagr","highlight","reference_label","is_source_reference"
"FMI WEO (PIB per cápita)","imf_weo_ZMB_3","Zambia (1988-1994)","ZMB","Zambia",1988,1994,-0.29733866603868,6,FALSE,5,1999,73.1838303941571,5,"5 años después",0.29733866603868,0.731838303941571,11,-0.0279824566500244,1.04152351719108,0.00817010695994935,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_BDI_7","Burundi (1991-1997)","BDI","Burundi",1991,1997,-0.296081831851569,6,FALSE,5,2002,70.4015677041198,5,"5 años después",0.296081831851569,0.704015677041198,11,-0.0314013750063706,1.00013852305165,2.77030753677021e-05,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_QAT_5","Qatar (1989-1991)","QAT","Qatar",1989,1991,-0.29235975257732,2,FALSE,5,1996,78.1812566776382,5,"5 años después",0.29235975257732,0.781812566776382,7,-0.0345518613775004,1.10481642278523,0.0201358835484131,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LBN_15","Lebanon (2018-2020)","LBN","Lebanon",2018,2020,-0.281542064630055,2,FALSE,5,2025,74.8584752733767,5,"5 años después",0.281542064630055,0.748584752733767,7,-0.0405233164832326,1.04193261133418,0.00824929320875145,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_ARE_15","United Arab Emirates (2006-2009)","ARE","United Arab Emirates",2006,2009,-0.26818040857396,3,FALSE,5,2014,79.2644438522196,5,"5 años después",0.26818040857396,0.792644438522196,8,-0.0286297414404334,1.08311453780245,0.0160963165673425,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_GRC_9","Greece (2007-2013)","GRC","Greece",2007,2013,-0.267151542905283,6,FALSE,5,2018,78.2713637423488,5,"5 años después",0.267151542905283,0.782713637423488,11,-0.0220254878005314,1.06804296283362,0.0132526414387484,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_ETH_5","Ethiopia (1987-1992)","ETH","Ethiopia",1987,1992,-0.264757213088112,5,FALSE,5,1997,91.4139907377582,5,"5 años después",0.264757213088112,0.914139907377582,10,-0.00893699033504169,1.24331706974928,0.0445190840665195,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_NER_1","Niger (1981-1984)","NER","Niger",1981,1984,-0.262059302878505,3,FALSE,5,1989,78.0107808766806,5,"5 años después",0.262059302878505,0.780107808766806,8,-0.0305635871877334,1.05714159933148,0.0111757192115562,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_DJI_1","Djibouti (1991-2001)","DJI","Djibouti",1991,2001,-0.257813978820671,10,FALSE,5,2006,80.9509730527616,5,"5 años después",0.257813978820671,0.809509730527616,15,-0.0139896548223639,1.0907100207052,0.0175174375851033,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_QAT_19","Qatar (2011-2020)","QAT","Qatar",2011,2020,-0.255643674634137,9,FALSE,5,2025,75.1549413115782,5,"5 años después",0.255643674634137,0.751549413115782,14,-0.0201946098544304,1.00966350053704,0.00192527247275853,"Otros países","",FALSE
