"indicator_id","country","country_code","year","indicator_value","gdp_per_capita","population","owid_region","gdp_population"
"daily_income","Burundi","BDI",2020,2.00741958618164,1030.7703,12617041,"África",NA
"daily_income","Belgium","BEL",2023,62.88720703125,63095.402,11712891,"Europa",NA
"daily_income","Benin","BEN",2021,4.20006656646729,3464.2886,13413423,"África",NA
"daily_income","Burkina Faso","BFA",2021,3.37372851371765,2486.431,21995249,"África",NA
"daily_income","Bangladesh","BGD",2022,6.17493867874146,7888.164,169384891,"Asia",NA
"daily_income","Bulgaria","BGR",2023,30.1827220916748,33073.816,6795805,"Europa",NA
"daily_income","Bosnia and Herzegovina","BIH",2021,15.7931480407715,18286.738,3244912,"Europa",NA
"daily_income","Belarus","BLR",2020,18.3853340148926,26731.496,9350943,"Europa",NA
"daily_income","Belize","BLZ",2018,14.9377336502075,11451.897,380232,"América del Norte",NA
"daily_income","Bolivia","BOL",2024,16.8191146850586,11329.151,12244161,"América del Sur",NA
"daily_income","Brazil","BRA",2024,16.9121055603027,19652.365,211140731,"América del Sur",NA
"daily_income","Barbados","BRB",2016,15.4900989532471,20930.633,279604,"América del Norte",NA
"daily_income","Bhutan","BTN",2022,16.4896068572998,14061.3125,780921,"Asia",NA
"daily_income","Botswana","BWA",2015,5.83431196212769,15994.964,2203276,"África",NA
"daily_income","Central African Republic","CAF",2021,1.9245719909668,1128.5524,5112103,"África",NA
"daily_income","Canada","CAN",2022,64.7212753295898,58321.062,38821259,"América del Norte",NA
"daily_income","Switzerland","CHE",2022,72.2890090942383,82777.3,8792180,"Europa",NA
"daily_income","Chile","CHL",2024,24.5706577301025,30182.787,19658833,"América del Sur",NA
"daily_income","China","CHN",2022,13.3631553649902,21499.383,1425179562,"Asia",NA
"daily_income","Cote d'Ivoire","CIV",2021,4.75888299942017,6045.2046,29639737,"África",NA
"daily_income","Cameroon","CMR",2021,4.98541450500488,4793.556,26915765,"África",NA
"daily_income","Democratic Republic of Congo","COD",2020,1.31601297855377,1361.028,95990000,"África",NA
"daily_income","Congo","COG",2011,3.76484417915344,8492.421,4609728,"África",NA
"daily_income","Colombia","COL",2024,11.2783603668213,18477.215,52321152,"América del Sur",NA
"daily_income","Comoros","COM",2024,6.47852182388306,3482.535,850390,"África",NA
"daily_income","Cape Verde","CPV",2015,6.17727899551392,7560.1367,512405,"África",NA
"daily_income","Costa Rica","CRI",2025,23.3897438049316,32335.01,5105526,"América del Norte",NA
"daily_income","Cyprus","CYP",2023,52.1396522521973,51453.727,1344981,"Europa",NA
"daily_income","Czechia","CZE",2023,39.0691299438477,47558.41,10809722,"Europa",NA
"daily_income","Germany","DEU",2022,64.1773376464844,63676.086,84086227,"Europa",NA
"daily_income","Djibouti","DJI",2017,4.70349216461182,5421.9565,1054844,"África",NA
"daily_income","Denmark","DNK",2023,60.7226982116699,69379.22,5948134,"Europa",NA
"daily_income","Dominican Republic","DOM",2024,17.4776706695557,24229.889,11331269,"América del Norte",NA
"daily_income","Algeria","DZA",2011,9.11427593231201,14641.964,36903374,"África",NA
"daily_income","Ecuador","ECU",2025,12.7009000778198,16934.87,17980079,"América del Sur",NA
"daily_income","Egypt","EGY",2021,7.61085319519043,15579.016,110957005,"África",NA
"daily_income","Spain","ESP",2023,47.3042831420898,47322.594,47911583,"Europa",NA
"daily_income","Estonia","EST",2023,36.523811340332,41288.617,1367195,"Europa",NA
"daily_income","Ethiopia","ETH",2021,3.48680186271667,2588.413,122138588,"África",NA
"daily_income","Finland","FIN",2023,56.4773635864258,56250.88,5601185,"Europa",NA
"daily_income","Fiji","FJI",2019,7.1636266708374,13056.331,914906,"Oceanía",NA
"daily_income","France","FRA",2023,57.2105484008789,54296.723,66438828,"Europa",NA
"daily_income","Micronesia (country)","FSM",2013,4.66449403762817,3680.1064,108133,"Oceanía",NA
"daily_income","Gabon","GAB",2017,11.307635307312,19555.707,2156902,"África",NA
"daily_income","United Kingdom","GBR",2021,54.5534553527832,51004.426,67668788,"Europa",NA
"daily_income","Georgia","GEO",2024,8.77147483825684,24883.908,3807494,"Asia",NA
"daily_income","Ghana","GHA",2016,3.72265148162842,5666.078,29356736,"África",NA
"daily_income","Guinea","GIN",2018,5.65447998046875,3455.645,12704776,"África",NA
"daily_income","Gambia","GMB",2020,4.857421875,2702.319,2515744,"África",NA
"daily_income","Guinea-Bissau","GNB",2021,3.44952130317688,2522.7676,2058841,"África",NA
"daily_income","Equatorial Guinea","GNQ",2022,7.1342568397522,16932.771,1803549,"África",NA
"daily_income","Greece","GRC",2023,28.9118061065674,36700.51,10242910,"Europa",NA
"daily_income","Grenada","GRD",2018,13.9224500656128,16964.852,115703,"América del Norte",NA
"daily_income","Guatemala","GTM",2023,8.73046016693115,12384.948,18124841,"América del Norte",NA
"daily_income","Guyana","GUY",1998,7.70488500595093,7915.2295,763596,"América del Sur",NA
"daily_income","Honduras","HND",2024,8.35151481628418,6585.8555,10644853,"América del Norte",NA
"daily_income","Croatia","HRV",2023,36.7349395751953,41320.203,3896023,"Europa",NA
"daily_income","Haiti","HTI",2012,1.91585195064545,3296.2478,10069770,"América del Norte",NA
"daily_income","Hungary","HUN",2017,22.1389846801758,33828.715,9785608,"Europa",NA
"daily_income","Indonesia","IDN",2025,6.65595245361328,17745.531,281190068,"Asia",NA
"daily_income","India","IND",2022,5.53649520874023,8594.392,1425423209,"Asia",NA
"daily_income","Iran","IRN",2023,10.1860427856445,17044.816,90608708,"Asia",NA
"daily_income","Iraq","IRQ",2023,10.8890171051025,13202.323,45074055,"Asia",NA
"daily_income","Iceland","ISL",2019,60.6326675415039,64826.434,360709,"Europa",NA
"daily_income","Israel","ISR",2022,37.4846534729004,48098.188,9103143,"Asia",NA
"daily_income","Italy","ITA",2023,48.7903861999512,52870.324,59499452,"Europa",NA
"daily_income","Jamaica","JAM",2021,14.2937784194946,10430.691,2837680,"América del Norte",NA
"daily_income","Jordan","JOR",2010,13.7110738754272,10953.538,7297046,"Asia",NA
"daily_income","Japan","JPN",2020,42.1728057861328,42992.48,126304533,"Asia",NA
"daily_income","Kazakhstan","KAZ",2021,12.2440023422241,32945.85,19743607,"Asia",NA
"daily_income","Kenya","KEN",2022,3.21497845649719,5491.694,54252458,"África",NA
"daily_income","Kyrgyzstan","KGZ",2024,6.85668039321899,7048.9897,7073523,"Asia",NA
