"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","recovery_year","years_to_recover","is_venezuela"
"Maddison, PIB pc","maddison_ARM_5","Armenia (1989-1993)","ARM","Armenia",1989,1993,-0.607586962729169,4,2017,28,FALSE
"Maddison, PIB pc","maddison_LBN_20","Lebanon (1987-1989)","LBN","Lebanon",1987,1989,-0.598839084166398,2,1996,9,FALSE
"Maddison, PIB pc","maddison_DJI_14","Djibouti (1976-1991)","DJI","Djibouti",1976,1991,-0.587260621926879,15,NA,NA,FALSE
"Maddison, PIB pc","maddison_BIH_13","Bosnia and Herzegovina (1989-1993)","BIH","Bosnia and Herzegovina",1989,1993,-0.578149410053121,4,1999,10,FALSE
"Maddison, PIB pc","maddison_SRB_16","Serbia (1989-1993)","SRB","Serbia",1989,1993,-0.573689539124695,4,2008,19,FALSE
"Maddison, PIB pc","maddison_LBY_14","Libya (2010-2011)","LBY","Libya",2010,2011,-0.557809885374582,1,NA,NA,FALSE
"Maddison, PIB pc","maddison_UKR_4","Ukraine (1989-1997)","UKR","Ukraine",1989,1997,-0.542510987915124,8,2007,18,FALSE
"Maddison, PIB pc","maddison_ARE_12","United Arab Emirates (1980-1988)","ARE","United Arab Emirates",1980,1988,-0.54231570367687,8,2000,20,FALSE
"Maddison, PIB pc","maddison_YEM_14","Yemen (2013-2022)","YEM","Yemen",2013,2022,-0.526714206141249,9,NA,NA,FALSE
"Maddison, PIB pc","maddison_SYR_28","Syrian Arab Republic (2004-2014)","SYR","Syrian Arab Republic",2004,2014,-0.520038470091819,10,NA,NA,FALSE
"Maddison, PIB pc","maddison_KGZ_5","Kyrgyzstan (1990-1995)","KGZ","Kyrgyzstan",1990,1995,-0.516539479237331,5,NA,NA,FALSE
"Maddison, PIB pc","maddison_GNQ_14","Equatorial Guinea (2012-2021)","GNQ","Equatorial Guinea",2012,2021,-0.512754500198782,9,NA,NA,FALSE
"Maddison, PIB pc","maddison_KWT_14","Kuwait (1979-1982)","KWT","Kuwait",1979,1982,-0.5085894796621,3,1996,17,FALSE
"Maddison, PIB pc","maddison_KWT_20","Kuwait (1989-1991)","KWT","Kuwait",1989,1991,-0.503117326042274,2,1992,3,FALSE
"Maddison, PIB pc","maddison_ZWE_33","Zimbabwe (1998-2008)","ZWE","Zimbabwe",1998,2008,-0.494505529491761,10,NA,NA,FALSE
"Maddison, PIB pc","maddison_AGO_14","Angola (1973-1977)","AGO","Angola",1973,1977,-0.474053295932679,4,2004,31,FALSE
"Maddison, PIB pc","maddison_LTU_4","Lithuania (1988-1994)","LTU","Lithuania",1988,1994,-0.472762431170335,6,2004,16,FALSE
"Maddison, PIB pc","maddison_CUB_36","Cuba (1988-1993)","CUB","Cuba",1988,1993,-0.467868246757234,5,2006,18,FALSE
"Maddison, PIB pc","maddison_LVA_6","Latvia (1990-1993)","LVA","Latvia",1990,1993,-0.466067926792929,3,2005,15,FALSE
"Maddison, PIB pc","maddison_SLE_16","Sierra Leone (1994-1999)","SLE","Sierra Leone",1994,1999,-0.457326841325899,5,2012,18,FALSE
"Maddison, PIB pc","maddison_RWA_16","Rwanda (1992-1994)","RWA","Rwanda",1992,1994,-0.456631272378131,2,2008,16,FALSE
"Maddison, PIB pc","maddison_TCD_8","Chad (1975-1981)","TCD","Chad",1975,1981,-0.452731092436975,6,2004,29,FALSE
"Maddison, PIB pc","maddison_IRN_7","Iran (Islamic Republic of) (1976-1981)","IRN","Iran (Islamic Republic of)",1976,1981,-0.448007501172058,5,2003,27,FALSE
"Maddison, PIB pc","maddison_IRQ_18","Iraq (1979-1986)","IRQ","Iraq",1979,1986,-0.443588076887362,7,2011,32,FALSE
"Maddison, PIB pc","maddison_YUG_24","Former Yugoslavia (1989-1993)","YUG","Former Yugoslavia",1989,1993,-0.438400223171273,4,2004,15,FALSE
"Maddison, PIB pc","maddison_LBY_16","Libya (2012-2016)","LBY","Libya",2012,2016,-0.438033298697909,4,NA,NA,FALSE
"Maddison, PIB pc","maddison_LBR_52","Liberia (2002-2005)","LBR","Liberia",2002,2005,-0.437558247364198,3,NA,NA,FALSE
"Maddison, PIB pc","maddison_COD_18","D.R. of the Congo (1986-1994)","COD","D.R. of the Congo",1986,1994,-0.430781454574356,8,NA,NA,FALSE
"Maddison, PIB pc","maddison_KWT_10","Kuwait (1971-1975)","KWT","Kuwait",1971,1975,-0.412802726055738,4,2004,33,FALSE
"Maddison, PIB pc","maddison_BLR_4","Belarus (1989-1995)","BLR","Belarus",1989,1995,-0.411954753139423,6,2005,16,FALSE
"Maddison, PIB pc","maddison_SUN_59","Former USSR (1989-1996)","SUN","Former USSR",1989,1996,-0.401293063282831,7,2004,15,FALSE
"Maddison, PIB pc","maddison_LBY_18","Libya (2018-2020)","LBY","Libya",2018,2020,-0.397993745643871,2,NA,NA,FALSE
"Maddison, PIB pc","maddison_CMR_8","Cameroon (1986-1994)","CMR","Cameroon",1986,1994,-0.397839256921597,8,2015,29,FALSE
"Maddison, PIB pc","maddison_SAU_6","Saudi Arabia (1981-1986)","SAU","Saudi Arabia",1981,1986,-0.397139251156921,5,1998,17,FALSE
