"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","recovery_year","years_to_recover","is_venezuela"
"WDI, PIB pc","wdi_JOR_4","Jordan (1986-1991)","JOR","Jordan",1986,1991,-0.302015113676662,5,2008,22,FALSE
"WDI, PIB pc","wdi_TCD_6","Chad (1977-1980)","TCD","Chad",1977,1980,-0.295286891547152,3,2004,27,FALSE
"WDI, PIB pc","wdi_PER_10","Peru (1987-1990)","PER","Peru",1987,1990,-0.294570318191694,3,2006,19,FALSE
"WDI, PIB pc","wdi_QAT_23","Qatar (2011-2020)","QAT","Qatar",2011,2020,-0.292112357354887,9,NA,NA,FALSE
"WDI, PIB pc","wdi_KAZ_1","Kazakhstan (1991-1995)","KAZ","Kazakhstan",1991,1995,-0.287493817037481,4,2002,11,FALSE
"WDI, PIB pc","wdi_BDI_16","Burundi (1991-1997)","BDI","Burundi",1991,1997,-0.28650508640599,6,NA,NA,FALSE
"WDI, PIB pc","wdi_LBY_12","Libya (1985-1987)","LBY","Libya",1985,1987,-0.28614950550311,2,NA,NA,FALSE
"WDI, PIB pc","wdi_KWT_9","Kuwait (1989-1991)","KWT","Kuwait",1989,1991,-0.285907070936286,2,1992,3,FALSE
"WDI, PIB pc","wdi_ETH_12","Ethiopia (1987-1992)","ETH","Ethiopia",1987,1992,-0.285609333755594,5,2006,19,FALSE
"WDI, PIB pc","wdi_COG_8","Congo, Rep. (1984-1994)","COG","Congo, Rep.",1984,1994,-0.284822019292559,10,NA,NA,FALSE
"WDI, PIB pc","wdi_UZB_2","Uzbekistan (1989-1996)","UZB","Uzbekistan",1989,1996,-0.283076693629837,7,2006,17,FALSE
"WDI, PIB pc","wdi_GHA_10","Ghana (1978-1983)","GHA","Ghana",1978,1983,-0.275227346724788,5,1997,19,FALSE
"WDI, PIB pc","wdi_BOL_2","Bolivia (1977-1986)","BOL","Bolivia",1977,1986,-0.268862856802168,9,2006,29,FALSE
"WDI, PIB pc","wdi_GRC_13","Greece (2007-2013)","GRC","Greece",2007,2013,-0.263990065478214,6,NA,NA,FALSE
"WDI, PIB pc","wdi_GAB_6","Gabon (1984-1987)","GAB","Gabon",1984,1987,-0.261101141459161,3,NA,NA,FALSE
"WDI, PIB pc","wdi_TGO_12","Togo (1989-1993)","TGO","Togo",1989,1993,-0.254630485447047,4,1997,8,FALSE
"WDI, PIB pc","wdi_NER_6","Niger (1971-1973)","NER","Niger",1971,1973,-0.254186713971129,2,NA,NA,FALSE
"WDI, PIB pc","wdi_LCA_20","St. Lucia (2018-2020)","LCA","St. Lucia",2018,2020,-0.254107332736501,2,2023,5,FALSE
"WDI, PIB pc","wdi_NGA_2","Nigeria (1965-1968)","NGA","Nigeria",1965,1968,-0.253209646996592,3,1970,5,FALSE
"WDI, PIB pc","wdi_ARE_16","United Arab Emirates (2006-2010)","ARE","United Arab Emirates",2006,2010,-0.252536311997521,4,NA,NA,FALSE
"WDI, PIB pc","wdi_CIV_11","Cote d'Ivoire (1985-1994)","CIV","Cote d'Ivoire",1985,1994,-0.252269671151677,9,NA,NA,FALSE
"WDI, PIB pc","wdi_GAB_10","Gabon (1998-2006)","GAB","Gabon",1998,2006,-0.248632193708472,8,NA,NA,FALSE
"WDI, PIB pc","wdi_VEN_70","Venezuela (1977-1985)","VEN","Venezuela",1977,1985,-0.246708124123997,8,NA,NA,TRUE
"WDI, PIB pc","wdi_AGO_15","Angola (2014-2021)","AGO","Angola",2014,2021,-0.243940022602507,7,NA,NA,FALSE
"WDI, PIB pc","wdi_MDG_7","Madagascar (1979-1987)","MDG","Madagascar",1979,1987,-0.24300200583002,8,NA,NA,FALSE
"WDI, PIB pc","wdi_KWT_19","Kuwait (2012-2020)","KWT","Kuwait",2012,2020,-0.239344625995128,8,NA,NA,FALSE
"WDI, PIB pc","wdi_GNB_12","Guinea-Bissau (1997-1998)","GNB","Guinea-Bissau",1997,1998,-0.238778523409397,1,2016,19,FALSE
"WDI, PIB pc","wdi_MNG_2","Mongolia (1989-1993)","MNG","Mongolia",1989,1993,-0.23794563277286,4,2004,15,FALSE
"WDI, PIB pc","wdi_UKR_10","Ukraine (2021-2022)","UKR","Ukraine",2021,2022,-0.227456813021158,1,NA,NA,FALSE
"WDI, PIB pc","wdi_EST_1","Estonia (1991-1993)","EST","Estonia",1991,1993,-0.223526680310649,2,1997,6,FALSE
"WDI, PIB pc","wdi_MDG_5","Madagascar (1971-1978)","MDG","Madagascar",1971,1978,-0.222731643161847,7,NA,NA,FALSE
"WDI, PIB pc","wdi_BGR_2","Bulgaria (1988-1993)","BGR","Bulgaria",1988,1993,-0.22069053637546,5,2005,17,FALSE
"WDI, PIB pc","wdi_BHR_4","Bahrain (1977-1982)","BHR","Bahrain",1977,1982,-0.220006556632658,5,1993,16,FALSE
"WDI, PIB pc","wdi_ARG_17","Argentina (1998-2002)","ARG","Argentina",1998,2002,-0.219121951925802,4,2006,8,FALSE
"WDI, PIB pc","wdi_BGD_8","Bangladesh (1970-1972)","BGD","Bangladesh",1970,1972,-0.216187796626027,2,1991,21,FALSE
"WDI, PIB pc","wdi_CHL_6","Chile (1971-1975)","CHL","Chile",1971,1975,-0.214471221187694,4,1980,9,FALSE
"WDI, PIB pc","wdi_KHM_3","Cambodia (1978-1982)","KHM","Cambodia",1978,1982,-0.211373566596198,4,1988,10,FALSE
"WDI, PIB pc","wdi_MMR_12","Myanmar (2019-2021)","MMR","Myanmar",2019,2021,-0.210962079294075,2,NA,NA,FALSE
"WDI, PIB pc","wdi_URY_9","Uruguay (1981-1984)","URY","Uruguay",1981,1984,-0.210010644658055,3,1992,11,FALSE
"WDI, PIB pc","wdi_CPV_6","Cabo Verde (2019-2020)","CPV","Cabo Verde",2019,2020,-0.208937523404244,1,2023,4,FALSE
"WDI, PIB pc","wdi_KWT_17","Kuwait (2006-2010)","KWT","Kuwait",2006,2010,-0.208310516228402,4,NA,NA,FALSE
"WDI, PIB pc","wdi_GHA_8","Ghana (1974-1977)","GHA","Ghana",1974,1977,-0.208177363184428,3,2006,32,FALSE
"WDI, PIB pc","wdi_NAM_11","Namibia (2015-2020)","NAM","Namibia",2015,2020,-0.206657950997889,5,NA,NA,FALSE
"WDI, PIB pc","wdi_CIV_13","Cote d'Ivoire (1998-2003)","CIV","Cote d'Ivoire",1998,2003,-0.202847948176945,5,2015,17,FALSE
"WDI, PIB pc","wdi_IRQ_12","Iraq (1982-1985)","IRQ","Iraq",1982,1985,-0.201953825324455,3,1990,8,FALSE
"WDI, PIB pc","wdi_MMR_8","Myanmar (1985-1988)","MMR","Myanmar",1985,1988,-0.201177630440163,3,1995,10,FALSE
"WDI, PIB pc","wdi_TGO_8","Togo (1980-1983)","TGO","Togo",1980,1983,-0.200882767457536,3,NA,NA,FALSE
"WDI, PIB pc","wdi_CAF_17","Central African Republic (1988-1993)","CAF","Central African Republic",1988,1993,-0.19924273532225,5,2012,24,FALSE
"WDI, PIB pc","wdi_HTI_24","Haiti (2018-2024)","HTI","Haiti",2018,2024,-0.196527648155112,6,NA,NA,FALSE
"WDI, PIB pc","wdi_ZWE_11","Zimbabwe (1974-1978)","ZWE","Zimbabwe",1974,1978,-0.193862250254076,4,1996,22,FALSE
"WDI, PIB pc","wdi_NER_14","Niger (1988-1997)","NER","Niger",1988,1997,-0.191967766500572,9,2017,29,FALSE
"WDI, PIB pc","wdi_GTM_4","Guatemala (1980-1986)","GTM","Guatemala",1980,1986,-0.191018583948737,6,2006,26,FALSE
"WDI, PIB pc","wdi_PAN_6","Panama (1986-1989)","PAN","Panama",1986,1989,-0.190980572223957,3,1993,7,FALSE
"WDI, PIB pc","wdi_PHL_2","Philippines (1982-1985)","PHL","Philippines",1982,1985,-0.18990900525366,3,2004,22,FALSE
"WDI, PIB pc","wdi_SDN_8","Sudan (1977-1980)","SDN","Sudan",1977,1980,-0.189862533018711,3,1997,20,FALSE
"WDI, PIB pc","wdi_PAN_14","Panama (2019-2020)","PAN","Panama",2019,2020,-0.189421659787374,1,2022,3,FALSE
"WDI, PIB pc","wdi_VEN_80","Venezuela (2001-2003)","VEN","Venezuela",2001,2003,-0.188975855520166,2,2005,4,TRUE
"WDI, PIB pc","wdi_EST_5","Estonia (2007-2009)","EST","Estonia",2007,2009,-0.186315237628808,2,2015,8,FALSE
"WDI, PIB pc","wdi_DMA_1","Dominica (1978-1979)","DMA","Dominica",1978,1979,-0.1862224909723,1,1981,3,FALSE
"WDI, PIB pc","wdi_SYC_24","Seychelles (2019-2022)","SYC","Seychelles",2019,2022,-0.185403851788859,3,NA,NA,FALSE
"WDI, PIB pc","wdi_MLI_9","Mali (1981-1984)","MLI","Mali",1981,1984,-0.184971009563738,3,1997,16,FALSE
"WDI, PIB pc","wdi_CYP_8","Cyprus (2008-2014)","CYP","Cyprus",2008,2014,-0.184910452910263,6,2019,11,FALSE
"WDI, PIB pc","wdi_CHL_8","Chile (1981-1983)","CHL","Chile",1981,1983,-0.183000658944998,2,1989,8,FALSE
"WDI, PIB pc","wdi_ETH_10","Ethiopia (1983-1985)","ETH","Ethiopia",1983,1985,-0.182278593287662,2,2006,23,FALSE
"WDI, PIB pc","wdi_GNB_4","Guinea-Bissau (1978-1980)","GNB","Guinea-Bissau",1978,1980,-0.181641923077685,2,1985,7,FALSE
"WDI, PIB pc","wdi_LVA_3","Latvia (2007-2010)","LVA","Latvia",2007,2010,-0.180262837325821,3,2015,8,FALSE
"WDI, PIB pc","wdi_OMN_18","Oman (2009-2014)","OMN","Oman",2009,2014,-0.179366298752236,5,NA,NA,FALSE
"WDI, PIB pc","wdi_TCD_12","Chad (1992-1993)","TCD","Chad",1992,1993,-0.176741907151847,1,2003,11,FALSE
"WDI, PIB pc","wdi_LSO_20","Lesotho (2016-2020)","LSO","Lesotho",2016,2020,-0.17667791062421,4,NA,NA,FALSE
"WDI, PIB pc","wdi_SLE_16","Sierra Leone (1991-1992)","SLE","Sierra Leone",1991,1992,-0.174597698249032,1,2012,21,FALSE
"WDI, PIB pc","wdi_HRV_1","Croatia (1991-1993)","HRV","Croatia",1991,1993,-0.172356882769868,2,1996,5,FALSE
"WDI, PIB pc","wdi_HUN_4","Hungary (1989-1993)","HUN","Hungary",1989,1993,-0.170704825746459,4,2000,11,FALSE
"WDI, PIB pc","wdi_ZMB_15","Zambia (1981-1987)","ZMB","Zambia",1981,1987,-0.169747257404589,6,2009,28,FALSE
"WDI, PIB pc","wdi_SAU_10","Saudi Arabia (1991-1999)","SAU","Saudi Arabia",1991,1999,-0.16932694232846,8,NA,NA,FALSE
"WDI, PIB pc","wdi_OMN_6","Oman (1972-1973)","OMN","Oman",1972,1973,-0.166997263585133,1,1975,3,FALSE
"WDI, PIB pc","wdi_MDG_9","Madagascar (1990-1996)","MDG","Madagascar",1990,1996,-0.165092292003228,6,NA,NA,FALSE
"WDI, PIB pc","wdi_SYR_18","Syrian Arab Republic (1988-1989)","SYR","Syrian Arab Republic",1988,1989,-0.164606695006472,1,1994,6,FALSE
"WDI, PIB pc","wdi_LSO_8","Lesotho (1974-1975)","LSO","Lesotho",1974,1975,-0.164511267325274,1,1977,3,FALSE
"WDI, PIB pc","wdi_ZWE_27","Zimbabwe (2018-2020)","ZWE","Zimbabwe",2018,2020,-0.163928508813306,2,NA,NA,FALSE
"WDI, PIB pc","wdi_TZA_6","Tanzania (1975-1983)","TZA","Tanzania",1975,1983,-0.163890932745869,8,2002,27,FALSE
"WDI, PIB pc","wdi_PSE_9","West Bank and Gaza (2016-2020)","PSE","West Bank and Gaza",2016,2020,-0.160957532012352,4,NA,NA,FALSE
"WDI, PIB pc","wdi_SYR_26","Syrian Arab Republic (2015-2022)","SYR","Syrian Arab Republic",2015,2022,-0.159790373083194,7,NA,NA,FALSE
"WDI, PIB pc","wdi_JOR_10","Jordan (2012-2016)","JOR","Jordan",2012,2016,-0.15913049504033,4,NA,NA,FALSE
"WDI, PIB pc","wdi_YEM_4","Yemen, Rep. (2010-2012)","YEM","Yemen, Rep.",2010,2012,-0.159044931118573,2,NA,NA,FALSE
"WDI, PIB pc","wdi_BWA_8","Botswana (2008-2009)","BWA","Botswana",2008,2009,-0.158997149078875,1,2013,5,FALSE
"WDI, PIB pc","wdi_SLE_28","Sierra Leone (2013-2015)","SLE","Sierra Leone",2013,2015,-0.158912292998631,2,NA,NA,FALSE
"WDI, PIB pc","wdi_CRI_4","Costa Rica (1979-1982)","CRI","Costa Rica",1979,1982,-0.158723576173982,3,1992,13,FALSE
"WDI, PIB pc","wdi_GNQ_7","Equatorial Guinea (2008-2010)","GNQ","Equatorial Guinea",2008,2010,-0.158164836909316,2,NA,NA,FALSE
"WDI, PIB pc","wdi_ARG_27","Argentina (2017-2020)","ARG","Argentina",2017,2020,-0.157325785017369,3,NA,NA,FALSE
"WDI, PIB pc","wdi_TCD_4","Chad (1969-1973)","TCD","Chad",1969,1973,-0.154764450694266,4,2004,35,FALSE
"WDI, PIB pc","wdi_GNQ_5","Equatorial Guinea (1987-1991)","GNQ","Equatorial Guinea",1987,1991,-0.153679366067332,4,1992,5,FALSE
"WDI, PIB pc","wdi_SDN_10","Sudan (1982-1985)","SDN","Sudan",1982,1985,-0.153673361132595,3,1989,7,FALSE
"WDI, PIB pc","wdi_URY_15","Uruguay (1998-2002)","URY","Uruguay",1998,2002,-0.153490347766664,4,2007,9,FALSE
"WDI, PIB pc","wdi_NER_4","Niger (1965-1969)","NER","Niger",1965,1969,-0.153237155397015,4,NA,NA,FALSE
"WDI, PIB pc","wdi_DMA_13","Dominica (2019-2020)","DMA","Dominica",2019,2020,-0.15323436855213,1,2023,4,FALSE
"WDI, PIB pc","wdi_STP_6","Sao Tome and Principe (1979-1981)","STP","Sao Tome and Principe",1979,1981,-0.151307628383258,2,NA,NA,FALSE
"WDI, PIB pc","wdi_IDN_9","Indonesia (1997-1999)","IDN","Indonesia",1997,1999,-0.150985066116873,2,2005,8,FALSE
"WDI, PIB pc","wdi_ZMB_13","Zambia (1976-1980)","ZMB","Zambia",1976,1980,-0.150019411997716,4,NA,NA,FALSE
