"date","year","gdp_growth","gdp_pc_growth","gdp_index","gdp_pc_index","population"
1878-12-31,1878,-0.0769230769230769,-0.093590255512757,316.981132075472,150.11014811768,1883296
1879-12-31,1879,0,-0.0177358693288115,316.981132075472,147.447814145736,1917301
1880-12-31,1880,0.244047619047619,0.221741747475867,394.33962264151,180.143150115909,1952306
1881-12-31,1881,0.177033492822966,0.156883061232222,464.150943396227,208.404558966108,1986311
1882-12-31,1882,0.186991869918699,0.167590911046157,550.943396226415,243.331268869411,2019316
1883-12-31,1883,-0.14041095890411,-0.154234691303364,473.584905660377,205.801145730881,2052321
1884-12-31,1884,0.0438247011952191,0.0282900297801083,494.339622641509,211.623266272388,2083326
1885-12-31,1885,0.0725190839694656,0.0572914953359276,530.188679245283,223.747479645007,2113331
1886-12-31,1886,-0.0569395017793595,-0.0640270686678912,500,209.421584401508,2129334
1887-12-31,1887,0.105660377358491,0.0963906615320571,552.830188679245,229.607869461061,2147337
1888-12-31,1888,0.0375426621160408,0.0251284761297343,573.584905660377,235.377565328013,2173341
1889-12-31,1889,-0.0296052631578947,-0.0406425434755879,556.603773584906,225.811222395991,2198345
1890-12-31,1890,0.0677966101694916,0.0553134148387011,594.339622641509,238.301612215614,2224349
1891-12-31,1891,-0.0920634920634921,-0.104545156329311,539.622641509434,213.388332913006,2255354
1892-12-31,1892,-0.132867132867133,-0.144251918223973,467.924528301887,182.606656563689,2285359
1893-12-31,1893,0.399193548387097,0.381658014274499,654.716981132075,252.299950501093,2314364
1894-12-31,1894,-0.135446685878963,-0.147239387205329,566.037735849057,215.151460397377,2346369
1895-12-31,1895,0.246666666666667,0.231443983136971,705.66037735849,264.946971369482,2375374
1896-12-31,1896,-0.171122994652406,-0.18248212274707,584.905660377358,216.598885618572,2408379
1897-12-31,1897,-0.0806451612903226,-0.0934452211049637,537.735849056604,196.358754860856,2442384
1898-12-31,1898,0.129824561403509,0.114760319117095,607.54716981132,218.892948230123,2475389
1899-12-31,1899,-0.00310559006211175,-0.0166145864213676,605.66037735849,215.256132424726,2509394
